"master_section","original_heading","original_start_line","original_section_sha256","requirement_summary","requirement_origin","source_basis","master_sha256","phase_and_criteria","phases","target_artifacts","mapping_status","original_text_verified","implementation_status","non_goal","limitations"
"1","CENTRAL OBJECTIVE","41","840bfdef316613b86c07c2c51f2c1edf6816264252c0a14bd756c9bc05eabf59","原文步骤、形式上下文、Lean前后状态与图双向定位，编辑真实重检；形式正确和作者忠实分开。","M","Full original Master read and mapped; Roadmap provides phase refinements","e3ff6b57f67b198f81cb8234aa835c9e5bf1c12c4c6a5a3763a8c60074141619","P05-01;P05-02;P06-05;P07-06","5;6;7","data/alignments/;tests/alignment/;tests/versioning/;docs/alignment-policy.md;tests/live-edit/;tests/race/;tests/sandbox/;benchmarks/lean-latency/;docs/security-boundary.md;docs/graph-prove-supported-subset.md;benchmarks/graph-prove/operations/;benchmarks/graph-prove/roundtrip/","PASS","true","NOT_RUN","false","Mapping PASS only; does not assert feature implementation, Lean verification or human review"
"2","NON-GOALS","95","7c0ef49fb576b8b92b0d520598b7f388af8b0f13a09dcac496a466f4c8fb19b3","传统博客、卡片、装饰图、无对齐编辑器、只可下载证明均不能替代主目标；视觉新颖不足以完成。","M","Full original Master read and mapped; Roadmap provides phase refinements","e3ff6b57f67b198f81cb8234aa835c9e5bf1c12c4c6a5a3763a8c60074141619","P03-01;P07-06;GLOBAL-NONGOALS","0;3;7","docs/current-state.md;docs/assumptions.md;docs/architecture-plan.md;docs/acceptance-criteria.md;docs/phases/phase-00/acceptance.json;data/visual-slice/;tests/navigation/;benchmarks/visual/;docs/graph-prove-supported-subset.md;benchmarks/graph-prove/operations/;benchmarks/graph-prove/roundtrip/","PASS","true","NOT_RUN","true","Mapping PASS only; does not assert feature implementation, Lean verification or human review"
"3","FIRST PRINCIPLE: PAGE IS NOT THE PRIMITIVE","120","b9d92467c9033c2fea9a3e165216d7784468df7b6b021cf9dffaddda1ede6406","23类核心对象；ViewState以focus/lens/resolution/localgraph/unfolding变换，URL保留但不主导交互。","M","Full original Master read and mapped; Roadmap provides phase refinements","e3ff6b57f67b198f81cb8234aa835c9e5bf1c12c4c6a5a3763a8c60074141619","P02-02;P03-01;P03-03","2;3","formal/;schemas/;data/formal/;docs/verification-policy.md;data/visual-slice/;tests/navigation/;benchmarks/visual/","PASS","true","NOT_RUN","false","Mapping PASS only; does not assert feature implementation, Lean verification or human review"
"4","KNOWLEDGE TOPOS INTERACTION MODEL","184","d598c585d20d722c49e61df1b15b0978f05b851096c724fd3d429804567b25c9","连续语境，至少五级语义信息，MVP三种指定视角；切换不改形式真值，Topos只是名称。","M","Full original Master read and mapped; Roadmap provides phase refinements","e3ff6b57f67b198f81cb8234aa835c9e5bf1c12c4c6a5a3763a8c60074141619","P03-01;P03-02;P03-03","2;3","formal/;schemas/;data/formal/;docs/verification-policy.md;data/visual-slice/;tests/navigation/;benchmarks/visual/","PASS","true","NOT_RUN","false","Mapping PASS only; does not assert feature implementation, Lean verification or human review"
"5","KNOWLEDGE GEOMETRY","266","1a8f7fb2c2ed9996c8423241f945c27cae31d86855d775ec0065944d08ac21ea","关系类型、方向、上下文、来源、形式/语义证据与置信分离；布局不是本体，对偶不等于排斥。","M","Full original Master read and mapped; Roadmap provides phase refinements","e3ff6b57f67b198f81cb8234aa835c9e5bf1c12c4c6a5a3763a8c60074141619","P02-03;P02-06;P03-01","2;3","formal/;schemas/;data/formal/;docs/verification-policy.md;data/visual-slice/;tests/navigation/;benchmarks/visual/","PASS","true","NOT_RUN","false","Mapping PASS only; does not assert feature implementation, Lean verification or human review"
"6","MULTIPLE MATHEMATICAL GRAPHS","324","1d06df5f7dde6d4e5a28d81cee7c88cd972285b186e34c430ad937ea466ca773","Module、Declaration、Structure、Proof、Semantic、Pedagogy六图互通不混淆。","M","Full original Master read and mapped; Roadmap provides phase refinements","e3ff6b57f67b198f81cb8234aa835c9e5bf1c12c4c6a5a3763a8c60074141619","P02-03;P05-06;P07-04","2;5;7","formal/;schemas/;data/formal/;docs/verification-policy.md;data/alignments/;tests/alignment/;tests/versioning/;docs/alignment-policy.md;docs/graph-prove-supported-subset.md;benchmarks/graph-prove/operations/;benchmarks/graph-prove/roundtrip/","PASS","true","NOT_RUN","false","Mapping PASS only; does not assert feature implementation, Lean verification or human review"
"7","LEAN 4 AS THE FORMAL TRUTH LAYER","367","f34baddfa9c6cb84a4861250a1ac6f5f9ec53dc053450a216a2248395ac774dc","Lean是形式证据层；不能模拟proofstate或诊断，不由AI/UI决定正确性。","M","Full original Master read and mapped; Roadmap provides phase refinements","e3ff6b57f67b198f81cb8234aa835c9e5bf1c12c4c6a5a3763a8c60074141619","P02-01;P02-04;P02-05;P06-01","2;6","formal/;schemas/;data/formal/;docs/verification-policy.md;tests/live-edit/;tests/race/;tests/sandbox/;benchmarks/lean-latency/;docs/security-boundary.md","PASS","true","NOT_RUN","false","Mapping PASS only; does not assert feature implementation, Lean verification or human review"
"8","LEAN TOOLCHAIN REPRODUCIBILITY","393","9969098351d1ead1cb0f897e6c6bcad5c762ca893779971fb3d94da5f6f0b4a9","每份形式工件绑定Lean/toolchain/Lake锁/依赖/提交/源版本/构建配置；变化失效。","M","Full original Master read and mapped; Roadmap provides phase refinements","e3ff6b57f67b198f81cb8234aa835c9e5bf1c12c4c6a5a3763a8c60074141619","P02-01;P02-06;P04-04;P10-05","2;4;10","formal/;schemas/;data/formal/;docs/verification-policy.md;notes/benchmark-12/;data/notes/;benchmarks/notes/manifest.json;reviews/notes/;benchmarks/scale/;docs/scale-report.md;docs/release-gate.md;docs/deployment.md","PASS","true","NOT_RUN","false","Mapping PASS only; does not assert feature implementation, Lean verification or human review"
"9","PROOF COMPLETENESS POLICY","415","979c0ea397a8f66363a905eba21e4dddb7d6ce54b28320408208752cb2d8d369","发布禁止未闭合目标、占位与未授权公理，暴露传递公理；学生未完成保持INCOMPLETE。","M","Full original Master read and mapped; Roadmap provides phase refinements","e3ff6b57f67b198f81cb8234aa835c9e5bf1c12c4c6a5a3763a8c60074141619","P02-05;P06-01;GLOBAL-INTEGRITY","2;6","formal/;schemas/;data/formal/;docs/verification-policy.md;tests/live-edit/;tests/race/;tests/sandbox/;benchmarks/lean-latency/;docs/security-boundary.md","PASS","true","NOT_RUN","false","Mapping PASS only; does not assert feature implementation, Lean verification or human review"
"10","EXECUTABLE MATHEMATICAL NOTES","446","9e4e05804df1e9153613f8ff77bb5f5fa151669090aaf5c26deb30b0c8e4193f","定理单元包括原文/形式陈述及证明、步骤、对齐、状态、依赖、图、替代、证据和版本，渐进展开。","M","Full original Master read and mapped; Roadmap provides phase refinements","e3ff6b57f67b198f81cb8234aa835c9e5bf1c12c4c6a5a3763a8c60074141619","P04-01;P04-02;P04-05","4","notes/benchmark-12/;data/notes/;benchmarks/notes/manifest.json;reviews/notes/","PASS","true","NOT_RUN","false","Mapping PASS only; does not assert feature implementation, Lean verification or human review"
